sep=	
8.977076646365050872e-02	3.781377446533530466e-03
-7.985619152450998404e-02	-1.274313164485631200e-01
-7.362366284158740337e-02	1.870199253003133888e-01
9.121785569306842256e-02	-1.326197793472314312e-01
3.521724923205955537e-01	-2.776485839062456940e-01
2.724242153307735448e-01	1.477566520736101618e-01
7.027061768079488624e-02	6.368643110204866842e-01
-1.256977498111610803e-01	-1.386892478625273428e-02
4.130057863915286287e-01	1.304367236082227266e-01
-3.540190599409135386e-01	3.339922259215631975e-03
-1.694062417422393663e-01	2.398656989981909626e-01
4.520765651725084933e-01	-4.325599525117439226e-02
3.190467718509052975e-01	-2.084693856495358766e-01
4.965205794462943661e-02	-3.404251205661071866e-01
3.933047871148900171e-02	-2.482427305411988999e-02
7.944145490891534045e-02	-2.910733521060469009e-01
-3.031693128377546120e-01	-1.211765098842953886e-01
-1.170366823075060098e-01	3.100499725894355074e-01
-3.972663068386023816e-03	2.804886216766662721e-01
-7.151110675503957737e-02	-1.079140476535919019e-01
-2.310559891106997166e-01	-1.973607156551498154e-01
-4.209480165955188369e-01	3.697807691548433279e-02
8.957752299973431587e-01	1.466751976086341225e-01
-4.715584048209426893e-01	-2.307909074418204309e-01
2.669437847569287592e-01	-2.160794379777214794e-02
-3.807141831828006473e-01	-9.649874779660061463e-03
-2.289166037736367065e-01	-2.860471818075571715e-01
4.995067794143442930e-01	2.119232303243158144e-01
2.600546172421293045e-01	-1.228466631344340976e-01
2.499552949913997346e-01	-5.156477539476275185e-01
2.715376952469779059e-01	1.154556923489614279e-01
-5.136227693554831775e-02	1.139779847493669063e-01
-2.461517860419432102e-02	2.484868684634036207e-01
5.087627707319573034e-01	2.483873554549639318e-01
-2.330095814693276812e-02	1.444379097259419487e-01
-6.817594639230600828e-01	-1.589629347333165743e-02
-3.499590939007667378e-01	-3.514640558672273846e-02
-2.678773836410043852e-01	-2.032029329246607952e-01
5.768858567069682364e-01	-2.649216011211026345e-01
1.037160265268217696e-01	2.198821449447222465e-01
-1.678851747901808911e-01	4.380255115903617935e-01
3.377464246292789796e-02	2.546258919344911442e-01
5.363093064890982475e-01	-3.226167454227963360e-01
-3.566927993107134043e-01	2.854720921545740586e-03
-8.899437880825356029e-02	-6.908435314623404544e-01
3.696303860996573154e-01	-1.319891657798373252e-01
3.822068916640780079e-01	3.331942820041083886e-01
2.185064670674239928e-01	1.963409020345556477e-01
-3.479366127325746461e-01	1.385019785428724948e-01
-1.796057838588785427e-03	4.510923135332581269e-02
-1.782589212495888642e-01	4.944760923246170892e-01
-4.904028318208722426e-02	2.148748182876951407e-02
-9.863597310878532975e-02	1.438547497949440868e-01
-4.516469959277549240e-01	3.685844330536397484e-01
1.556628228904378963e-01	5.255398995304642051e-01
5.834098001944572343e-02	-1.751716446314759701e-01
4.095082971517026160e-01	-3.014210139214588136e-01
-7.650507126351524523e-02	1.002538481620663391e-01
-2.062190878271273620e-01	-9.487057533554010824e-02
3.398524694678028979e-02	-2.168876252557681850e-02
-1.598505870841466225e-01	-4.285728330669204555e-01
-4.748843759768942574e-01	-4.782809001478652289e-01
1.268697735554311645e-01	-1.978454765815195193e-01
1.650973841057404856e-01	2.087330213537402779e-02
3.043762025625699197e-01	-6.611150605629985411e-02
1.111142194864334631e-01	-2.758428994063782946e-01
-2.697621134240750784e-01	-4.089832409972940508e-01
8.668825233313103285e-01	1.444779501210063100e-01
1.161927811285314027e-01	8.107863159669358166e-02
5.645503902926459761e-01	4.213425673062962118e-01
-3.938193491276393288e-01	8.629982472295809615e-01
3.432874391224186583e-01	5.390514692645987926e-01
-3.148520666315053340e-01	-2.811231541124100675e-01
-9.130720064297143113e-02	-2.747888695606138798e-01
-3.654247852503578198e-01	4.189792582222670592e-01
1.466390059006706381e-01	-4.981119252224661120e-01
3.481473817582997343e-02	-1.880494402100838791e-01
1.026474872239213909e-01	-3.527430796358957954e-01
1.218083239940481732e+00	-1.601230386087342250e-01
2.501364359427127870e-01	-3.150548696740618770e-01
8.517653703349677974e-01	3.196227543970049378e-01
2.070726986909421363e-01	4.923532810837864537e-01
-3.845147600246000552e-01	7.648555000548700189e-01
-6.039418945803523009e-01	8.635655937384068004e-02
-4.890559957213456710e-01	2.453909683250786455e-01
-2.962401865972263959e-01	-1.686198831228168937e-01
9.192390334878794422e-02	-7.293654979745072264e-01
-4.200353450632281493e-01	-9.042589542185687224e-01
4.957718402288671666e-01	-5.149771487946640525e-01
1.061833309735984859e-01	5.788216072579560612e-02
9.241614637931566678e-02	6.845724294588007020e-01
1.580326116795401081e-01	3.849436761728549650e-01
2.813999803149322965e-01	1.267238903040925013e+00
6.060259296895508241e-01	8.022552016630527527e-01
3.974094976715497052e-01	3.673329817462656077e-02
-6.005703726065475534e-02	1.228476207342594217e-01
-5.821364431159499198e-01	-8.064177611559819603e-01
-1.266035434085560407e+00	-1.166283476174944767e+00
-3.510249852156760442e-01	-4.179320622809883368e-01
